"row_id","platform","citation_tag","operating_wavelength_nm","omega_drive_rad_per_s","tau_ent_observed_s","link_class","conditions","verify_status","notes"
"P01","fiber_entanglement_distribution","Wengerowsky_et_al_2018_PNAS_115_12572","1530","1.231e15","1.0e-3","metro_to_intercity_fiber","Vienna 1200 km installed fiber entanglement distribution; tau_ent set by source/PMD stability","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative entanglement coherence time under PMD-compensated metro fiber [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P02","free_space_satellite","Yin_et_al_2017_Nature_549_70","810","2.327e15","1.0e-6","satellite_ground_link","Micius satellite Bell test 1200 km free-space; tau_ent set by two-photon coincidence window","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative satellite-mediated entanglement tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P03","ensemble_quantum_memory","Yu_et_al_2020_Nature_578_240","795","2.371e15","1.0e-6","two_node_memory_entanglement","Two atomic ensembles entangled via fiber; tau_ent set by ensemble memory coherence after swap","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative two-memory entanglement coherence [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P04","single_atom_node","Specht_et_al_2011_Nature_473_190","780","2.413e15","1.0e-4","single_atom_optical_cavity","Single Rb atom in cavity; tau_ent set by atomic ground-state Zeeman coherence","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative single-atom memory tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P05","color_center_photonic_memory","Bhaskar_et_al_2020_Nature_580_60","737","2.555e15","1.0e-3","SiV_nanophotonic_cryo_memory","Cryo SiV center in nanophotonic cavity; tau_ent set by memory T2 at cryo","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative cryo SiV memory tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P06","fiber_entanglement_distribution","Dynes_et_al_2019_npj_QI_5_101","1550","1.215e15","1.0e-6","field_trial_QKD_network","Field-trial QKD network operation; tau_ent set by QKD frame timing","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative deployed QKD network tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P07","TF_QKD","Pittaluga_et_al_2021_Nat_Photonics_15_530","1550","1.215e15","1.0e-4","twin_field_600_km","600 km TF-QKD; tau_ent set by twin-field phase coherence requirement","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative TF-QKD coherence requirement [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P08","single_atom_node","Liu_et_al_2020_PRL_124_030501","780","2.413e15","1.0e-4","two_trapped_atom_33m","Two trapped neutral atoms entangled over 33 m fiber; tau_ent set by single-atom memory","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative two-atom entanglement tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P09","industry_metro_demo","Qunnect_Inc_2024_metro_photonic_demo_representative","1550","1.215e15","1.0e-3","industry_metro_polarization_entanglement","Industry reference Qunnect metro polarization-entanglement demo; tau_ent representative of metro stability","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative industry metro demo tau_ent [VERIFY_PRECOMMIT_AGAINST_QUNNECT_DOCS]"
"P10","fiber_entanglement_distribution","Sangouard_et_al_2011_RMP_83_33","1550","1.215e15","1.0e-4","heralded_entanglement_review","Review reference for typical heralded entanglement coherence in fiber-coupled memories","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative heralded entanglement coherence from review [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P11","fiber_entanglement_distribution","Boaron_et_al_2018_PRL_121_190502","1550","1.215e15","1.0e-6","421_km_secure_QKD","421 km secure QKD; tau_ent set by detector timing window","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative long-fiber secure QKD tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P12","industry_metro_demo","Cisco_2023_quantum_networking_whitepaper_representative","1550","1.215e15","1.0e-2","industry_metro_link_stability","Industry reference Cisco quantum-networking whitepaper representative metro link stability","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative industry whitepaper metro stability [VERIFY_PRECOMMIT_AGAINST_CISCO_DOCS]"
"P13","fiber_entanglement_distribution","Yu_et_al_2022_Sci_Adv_8","1550","1.215e15","1.0e-4","long_distance_entanglement","Long-distance entanglement distribution work; tau_ent set by source/memory coherence","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative long-distance entanglement coherence [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]"
"P14","laser_stabilized_coherent","NIST_Cs_clock_photonic_2023_representative","852","2.211e15","1.0","laser_stabilized_distribution","Representative laser-stabilized coherent distribution using Cs D2 reference; tau_ent set by stabilized-laser coherence","PROVISIONAL_AUTHOR_BEST_EFFORT","Representative laser-stabilized photonic coherence [VERIFY_PRECOMMIT_AGAINST_NIST_DOCS]"
