layer,source,formula_or_contract,expected_or_replayed,source_value,status,boundary
LC01 locked primitive stack,LC01,"R=12, D=3, A0=1/(pi*R)","{""A0"": ""0.026525823848649222628147293895"", ""D"": 3, ""R"": 12}",LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,PASS,No branch-local primitive override.
R=12 foundational address count,CR113 foundational,CR113 R must equal LC01 R,12,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,PASS,R is not read from halo profile fit or a successful config.
D=3 foundational carrier uniqueness,CR115 foundational,stable_ds must be [3],[3],CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,PASS,"D is not derived from SPARC, PBH, or halo rows."
CR022 many-nonzero A root,CR022,many tiny A contributions can accumulate above single-source scale,"{""single"": 1e-18, ""sum"": 1.0000000000000001e-07}",BOUNDARY,PASS,Structural root only; no standalone halo observation claim.
CR023 BB-origin PBH/trapped-A inventory,CR023/QGA038G/G394,inventory sums to one and BB-origin trapped-A/PBH is the halo lane,"{""Omega_BB_PBH_trapped"": 0.26446190430295646, ""PBH_to_H_ratio"": 5.364446416084761, ""total_inventory"": 1.0}",BOUNDARY,PASS,Post-BB/window PBH remains a small subchannel.
CR024 real SPARC residual and post-BB rejection,CR024/G392/G393,real SPARC sample has large outer dark residual; post-BB envelope is too small,"{""dark_residual_pct"": 76.0699023482704, ""galaxies"": 175, ""post_bb_pct"": 2.576714268055339}",PASS,PASS,"Rejects post-BB-only as full halo, not clustered BB-origin PBH."
CR025 clustered profile contact,CR025/G394,clustered BB-PBH/trapped-A profile improves SPARC contact while radial law stays open,"{""baryon_rms"": 40.95236813050122, ""galaxies"": 175, ""halo_rms"": 3.625430524040301, ""improvement"": 150.7662388291606}",PASS,PASS,Compatibility profile is not a full native radial law.
CR026 seed-first clustering selector,CR026/G677,native R/12 seed-first candidate beats uniform and post-BB-only controls,"{""post_bb_gap_closed"": 0.02448481593940179, ""primary_candidate"": ""base12_outer_radius_over_12"", ""primary_gap_closed"": 0.8191375474184742, ""uniform_gap_closed"": 3.8495994978147876e-05}",PASS,PASS,Candidate behavior only; mass normalization and native law remain open.
CR027 hydrogen catch-up scaffold,CR027/QGA038F/G/H/G682c,hydrogen/normal baryons catch up inside BB-origin PBH/trapped-A scaffold,"{""catching_up_to"": ""BB-origin PBH/trapped-A clustered mass scaffold"", ""route"": ""bb_pbh_trapped_A_first_scaffold_plus_hydrogen_catchup"", ""terminal"": ""neutral_hydrogen_protium""}",PASS,PASS,Not a full star-formation history.
CR028 QP042 private baryon scaffold support,CR028/QP042,proton/neutron scaffolds filled without observed baryon masses,"{""filled"": ""ddu;duu"", ""open_boundary_rows"": 54}",BOUNDARY,PASS,"Private support only, not external halo evidence."
CR029 radial-law debt isolation,CR029,native radial organization / mass function / concentration remains open,native radial organization law / mass function / concentration relation,BOUNDARY,PASS,Successful only because it does not convert support into a full theorem.
CR030 branch zipper,CR030,scoped branch PASS with radial law open,"{""boundary_count"": ""4"", ""pass_scoped_count"": ""4""}",PASS,PASS,Scoped PASS only.
CR116 halo composition correction,CR116 governance,supersede stale f_PBH=0 / particle-PBH-insufficient reading,halo = cumulative nonzero A + CLUSTERED BB-origin PBHs at f_PBH ~ Omega_PBH/Omega_DM,CR116_SAM_HALO_COMPOSITION_CORRECTION_SEALED_PRIOR_READINGS_SUPERSEDED,PASS,Correction is appended transparently; prior files remain unmodified.
