id,passed,kind,value
P1_alpha_H_from_L_over_F,True,exact_rational,2
P2_L_equals_aH_times_F,True,exact_rational,162
P2_L_value,True,exact_rational,162
P3_D_squared,True,exact_rational,9
P3_D_value,True,exact_rational,3
P4_V_from_F_over_D,True,exact_rational,27
P4_V_value,True,exact_rational,27
P4_V_squared_equals_F_S_plus_1,True,exact_rational,729
P5_Theta_from_aH_D_sq,True,exact_rational,18
P5_Theta_equals_L_over_S_plus_1,True,exact_rational,18
P5_Theta_value,True,exact_rational,18
P6_R_equals_aH_L_over_V,True,exact_rational,12
P6_R_equals_4D,True,exact_rational,12
P6_R_value,True,exact_rational,12
P7_M_equals_L_minus_2_Theta,True,exact_rational,126
P7_M_equals_R_sq_minus_Theta,True,exact_rational,126
P7_M_value,True,exact_rational,126
P8_L_equals_M_plus_2_Theta,True,exact_rational,162
P9_R_sq_equals_L_minus_Theta,True,exact_rational,144
P9_R_sq_value,True,exact_rational,144
P9_role_separation_L,True,exact_rational,162
P9_role_separation_R_sq,True,exact_rational,144
P9_role_separation_M,True,exact_rational,126
P9_role_separation_Theta,True,exact_rational,18
P9_M_not_equals_R_sq,True,exact_rational,1
P10_S_equals_R_sq_over_Theta,True,exact_rational,8
P10_S_equals_L_minus_Theta_over_Theta,True,exact_rational,8
P10_S_value,True,exact_rational,8
P11_A_0_symbolic,True,symbolic_identity,1/(12*pi)
P11_A_share_value,True,exact_rational,1/12
P11_A_side_value,True,exact_rational,1/24
