check,passed,observed,expected
draft_state_permits_incomplete_hash,True,roles_present=True; hash_status=not_final_allowed,roles present; hash not final allowed
sealed_state_requires_upstream_cr222a_hash,True,0b18cd65bcf366364c66f1ea0aabe50f2e085794448713342bce6c69670aed0b,0b18cd65bcf366364c66f1ea0aabe50f2e085794448713342bce6c69670aed0b
sealed_state_requires_cr222b_packet_hash,True,79d5c3bb6384910d54f61df519d6f4cc005f5fd6b30952a1d78440be02e1a009,79d5c3bb6384910d54f61df519d6f4cc005f5fd6b30952a1d78440be02e1a009
carrier_subtotal_36,True,36,36
source_subtotal_45,True,45,45
unpacked_total_81,True,81,81
mirror_total_81,True,81,81
full_checksum_162,True,162,162
missing_0306_corrupts_to_161,True,161,161
duplicate_0305_corrupts_to_163,True,163,163
tensor_as_payload_throws_role_failure,True,role_failure,role_failure
valid_warning_requires_sealed_packet_plus_threshold_trigger,True,VALID_PR_WARNING_PACKET at A_leak=1/24,VALID_PR_WARNING_PACKET at A_side
