cr_id,branch,dir_name,summary_file,topic,role_in_gate,summary_sha256,present
CR016,06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE,CR016_CMB_ACOUSTIC_RULER_PHOTON_ROAD_RATIO,CR016_summary.json,CMB acoustic ruler photon road ratio,CMB acoustic ruler row,4ec3d7baf0966db6daeec2da2c0a5b3393eff2165471a8941be03cb1935af5d6,True
CR018,07_BARYON_INVENTORY_AND_COSMOLOGY,CR018_A0_CHI_BARYON_INVENTORY_DERIVATION,CR018_summary.json,A0 * chi baryon inventory derivation (Omega_b ~ 0.04930),baryon inventory row,a1d598841ecb06f8ea59f744c8f29e85ccdee32a6454fb5ee590c98ff545cc19,True
CR019,07_BARYON_INVENTORY_AND_COSMOLOGY,CR019_EFFECTIVE_MATTER_INVENTORY_REFINEMENT,CR019_summary.json,effective matter inventory refinement,baryon inventory row,c2dad0a4a45c9739962ccc106bec43343ee02bd82c58b1ed1818d105bef77ad3,True
CR020,07_BARYON_INVENTORY_AND_COSMOLOGY,CR020_CMB_BOUNDARY_AND_ACOUSTIC_CONCEPT_CHAIN,CR020_summary.json,CMB boundary and acoustic concept chain,CMB boundary row,295fcffbf7afe3b7a804734726f5c5dd064eb6360da72d98df1130f6cc02355c,True
CR021,07_BARYON_INVENTORY_AND_COSMOLOGY,CR021_PLANCK_LITE_CMB_DENSITY_AND_BBN_CONTACT,CR021_summary.json,Planck-lite CMB density + BBN contact,CMB / BBN contact row,b7be003ea4edf7c55959a778b7e727a566c8ae5f7c2901211342bfc9f4297603,True
CR022 (08 branch),08_GALAXY_HALOS_BB_PBH_TRAPPED_A,CR022_NATIVE_A_MANY_NONZERO_ACCUMULATION,CR022_summary.json,native A many-nonzero accumulation kernel,A kernel root row,d342cf25d4fa3dfd3496c1fab27ccb855eda100abc07931efb5960741f7292ec,True
CR023 (07 branch),07_BARYON_INVENTORY_AND_COSMOLOGY,CR023_BARYON_COSMOLOGY_BRANCH_VERDICT,CR023_summary.json,baryon cosmology branch verdict,07 branch closure verdict,118e924d2c3b57fbcae5dfe17b3b76ba251ad27da27bcd126057badd7c8e7de1,True
CR023 (08 branch),08_GALAXY_HALOS_BB_PBH_TRAPPED_A,CR023_BB_PBH_TRAPPED_A_INVENTORY,CR023_summary.json,BB-PBH / trapped-A inventory,trapped-A inventory row,a59d73dc2c0c40443c12976551f036dd9045474edf91d7b8f0b112e73cd4064d,True
CR111,14_FOUNDATIONAL_TESTS,CR111_COSMIC_BARYON_OMEGA_B_CLOSURE_APPEAL,CR111_summary.json,cosmic baryon Omega_b closure appeal (question lock),Omega_b closure question row,37ea8fd4547fad957034ede5a50445c316e4bb805cba0292bb34ffaccb3d3c34,True
CR114,00_governance,CR114_COSMIC_BARYON_BRIDGE_REVEAL,CR114_summary.json,CR018 -> CR111_PRED_1 cosmic baryon bridge (sigma=0.0017),bridge reveal CR for cosmic baryon,f503032f082938ddadc75f69783104af80d08cf078fa64e42d29dc177886f978,True
CR117,00_governance,CR117_SAM_CMB_SCOPE_BOUNDARY,CR117_summary.json,SAM/CMB methodological scope boundary,structural-vs-configuration scope handoff,b625af5a9ad7f56fbcf975aad5caddd23efcfc7f2e93ca39f7b37fb8a2e3faae,True
