control_id,hypothesis,observed,rejection_basis,status,rejected_for_replay
WC08_DIRECT_QA_AS_MASS,qA may be used directly as exterior mass / A update.,QP092B direct overread rows=6/6; QP092C direct overread rows=24/24; CR122 says direct route is statistically DISFAVORED at max 1.475 sigma.,"Mechanism replay requires carrier support plus ledger compression, not qA-as-mass.",REJECTED_FOR_LC03_REPLAY__CR122_STATISTICAL_LANGUAGE_PRESERVED,True
WC10_SURFACE_DEBIT_CONFUSION,Replace the 1/8 carrier route with the D^2/R surface debit.,carrier_fraction=1/8; surface_debit=3/4,Surface debit belongs to the Higgs observed surface; qA-to-A uses carrier support.,REJECTED_FOR_LC03_REPLAY,True
WC11_STATIC_A_FOR_DYNAMIC_RELEASE,Use static A integral as the GW170817 release delay mechanism.,REJECTED_AS_SECONDS_SCALE_EXPLANATION,CR147 preserves dynamic A-release/source-origin distinction.,REJECTED_FOR_LC03_REPLAY,True
WC12_A1_AS_NORMAL_LAUNCH_POINT,Treat A=1 as an ordinary photon/GW launch point.,NO_ESCAPE_ZERO_DEPTH_BOUNDARY_NOT_LITERAL_LIGHT_LAUNCH_POINT,"A=1 is no-escape zero-depth boundary, not a normal propagation surface.",REJECTED_FOR_LC03_REPLAY,True
WC_NO_LEDGER_COMPRESSION,Let qA source support update A without compression.,QP092C WC5_NO_LEDGER_COMPRESSION rejected; QP092C hard freeze rule forbids direct update.,The frozen engine-room rule requires ledger compression before A update.,REJECTED_FOR_LC03_REPLAY,True
WC_NO_1_8_CARRIER,Drop the unresolved 1/8 carrier and keep the A update.,QP092C WC2_NO_1_8_CARRIER_SPLIT rejected.,Carrier support is required by CR114/CR116/QP092B/C.,REJECTED_FOR_LC03_REPLAY,True
WC_WRONG_1_4_SPLIT,Use 1/4 carrier split.,R^2*(1/4)=36; retained=108.,Fails CR114/QP092A split-loss identity 18/126.,REJECTED_FOR_LC03_REPLAY,True
WC_WRONG_1_16_SPLIT,Use 1/16 total carrier split.,R^2*(1/16)=9; retained=135.,Fails CR114/QP092A split-loss identity 18/126.,REJECTED_FOR_LC03_REPLAY,True
WC_PROMOTE_CARRIER_TO_MATTER,Promote the 18 carrier to a matter/rest-mass row.,CR116 particle_catalog_status=carrier_only_not_matter; QP092B matter_rows_added=0; QP092C matter_rows_added=0,"18 is tensor-carrier support, not matter.",REJECTED_FOR_LC03_REPLAY,True
WC_VECTOR_OR_SCALAR_CARRIER,Replace the rank-2/tensor carrier with vector or scalar support.,QP092C WC8_VECTOR_OR_SCALAR_CARRIER rejected.,CR116/QP092C require two tensor polarizations / rank-2 support.,REJECTED_FOR_LC03_REPLAY,True
WC_MASS_ONLY_SOURCE,Erase Higgs/qA source layer and use mass-only primitive source.,QP088 selected=HIGGS_WEIGHTED_RESOLVED_SW_PRODUCES_A_MACRO_MASS_ACCUMULATES; QP089 selected=HIGGS_SOURCE_QA_TO_MASS_LEDGER_TO_MACRO_A,QP088/QP089 reject mass-only primitive source.,REJECTED_FOR_LC03_REPLAY,True
WC_HIGGS_SOURCE_ONLY_ERASES_MACRO_ACCUMULATION,Keep Higgs source only and erase macro accumulation.,QP088/QP089 wrong controls reject this route.,LC03 requires both source-side qA and macro A accumulation.,REJECTED_FOR_LC03_REPLAY,True
WC_RANDOM_QA_ASSIGNMENT,Assign qA randomly by species.,QP089 wrong controls rejected=10/10; CR201 wrong controls=6/6.,qA follows the inherited r_bounce/q-slot source grammar.,REJECTED_FOR_LC03_REPLAY,True
WC_LANE_MIXING,"Mix mass ledger, qA-direct, force, and clock readouts.",CR202 max_recompute_error=0.0; wrong controls=5/5.,Typed readout lanes remain separated.,REJECTED_FOR_LC03_REPLAY,True
WC_FULL_QG_OVERCLAIM,Treat LC03 as full quantum-gravity theorem closure.,CR121_SAM_GRAVITY_MECHANISM_INTAKE_SEALED_NOT_GRAVITON_NOT_FULL_QG_THEOREM,"CR121 boundary says gravity mechanism intake, not full QG theorem.",REJECTED_FOR_LC03_REPLAY,True
