layer,row_id,native_identity,vault_identity,identity_assignment_status,known_identity_label,known_symbol,known_name,known_label_used_as_construction_input,matter_row_allowed,promotion_status,qA_source_support,tensor_carrier_support,retained_write_support,source_known_match
particle,QP093A-0001,QP093A-0001|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=positive:1,QP093A-0001|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=positive:1,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,1.258680555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,0.1573350694444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,1.101345486111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,
particle,QP093A-0002,QP093A-0002|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=negative:1,QP093A-0002|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=1|d=0|q=negative:1,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,1.510416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0.1888020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1.321614583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,
particle,QP093A-0003,QP093A-0003|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=1|d=0|q=neutral:0,QP093A-0003|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=1|d=0|q=neutral:0,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,0.125,0.015625,0.109375,
particle,QP093A-0004,QP093A-0004|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=positive:2,QP093A-0004|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=positive:2,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,2.534722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,0.3168402777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,2.217881944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,
particle,QP093A-0005,QP093A-0005|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=negative:2,QP093A-0005|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=2|d=0|q=negative:2,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,3.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.3802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,2.661458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,
particle,QP093A-0006,QP093A-0006|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=2|d=0|q=neutral:0,QP093A-0006|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=2|d=0|q=neutral:0,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,0.250,0.03125,0.21875,
particle,QP093A-0007,QP093A-0007|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=positive:3,QP093A-0007|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=positive:3,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,3.828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.4785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3.349609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,
particle,QP093A-0008,QP093A-0008|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=negative:3,QP093A-0008|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=3|d=0|q=negative:3,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,4.593749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,0.5742187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4.019531249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,
particle,QP093A-0009,QP093A-0009|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=3|d=0|q=neutral:0,QP093A-0009|stable_matter_rows|OUTER_BINARY_NEUTRAL|outer_binary_neutral|p=3|d=0|q=neutral:0,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,0.375,0.046875,0.328125,
particle,QP093A-0010,QP093A-0010|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=4|d=0|q=positive:4,QP093A-0010|stable_matter_rows|V4_1_SINGLE_WRITE|single_write|p=4|d=0|q=positive:4,NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL,,,,no,yes,MATTER_ROW_ALLOWED_AFTER_SURFACE_GATE,5.138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888890,0.6423611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,4.496527777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777779,
