candidate_id,operator_class,partition,sorted_abc,a,b,c,q_abs,q_sign,closure_depth,stability_status,M_native,filter_1_q0,filter_2_distinct,filter_3_promoted
QP093A-0115,GROUND_BARYON_3BODY,1+1+1,"(1,1,1)",1,1,1,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,108,False,False,True
QP093A-0116,OCTET_COMPOSITE,1+1+2,"(1,1,2)",1,1,2,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,216,False,False,True
QP093A-0117,OCTET_COMPOSITE,1+1+3,"(1,1,3)",1,1,3,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,396,True,False,True
QP093A-0118,GROUND_BARYON_3BODY,1+1+4,"(1,1,4)",1,1,4,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,648,False,False,True
QP093A-0119,OCTET_COMPOSITE,1+1+6,"(1,1,6)",1,1,6,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1368,True,False,True
QP093A-0120,OCTET_COMPOSITE,1+1+8,"(1,1,8)",1,1,8,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2376,False,False,True
QP093A-0121,OCTET_COMPOSITE,1+1+9,"(1,1,9)",1,1,9,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2988,True,False,True
QP093A-0122,OCTET_COMPOSITE,1+1+12,"(1,1,12)",1,1,12,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5256,True,False,True
QP093A-0123,OCTET_COMPOSITE,1+2+2,"(1,2,2)",1,2,2,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,324,False,False,True
QP093A-0124,GROUND_BARYON_3BODY,1+2+3,"(1,2,3)",1,2,3,1,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,504,False,True,True
QP093A-0125,OCTET_COMPOSITE,1+2+4,"(1,2,4)",1,2,4,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,756,True,True,True
QP093A-0126,GROUND_BARYON_3BODY,1+2+6,"(1,2,6)",1,2,6,1,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1476,False,True,True
QP093A-0127,OCTET_COMPOSITE,1+2+8,"(1,2,8)",1,2,8,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2484,False,True,True
QP093A-0128,GROUND_BARYON_3BODY,1+2+9,"(1,2,9)",1,2,9,1,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3096,False,True,True
QP093A-0129,GROUND_BARYON_3BODY,1+2+12,"(1,2,12)",1,2,12,1,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5364,False,True,True
QP093A-0130,OCTET_COMPOSITE,1+3+3,"(1,3,3)",1,3,3,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,684,False,False,True
QP093A-0131,OCTET_COMPOSITE,1+3+4,"(1,3,4)",1,3,4,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,936,False,True,True
QP093A-0132,OCTET_COMPOSITE,1+3+6,"(1,3,6)",1,3,6,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1656,False,True,True
